City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boulsa,12.6675,-0.5758,33.52,37,89,4.3,BF,1685051743
1,east london,-33.0153,27.9116,16.84,81,99,10.64,ZA,1685051743
2,blackmans bay,-43.0167,147.3167,6.96,82,64,4.61,AU,1685051601
3,saladan,7.6134,99.0365,28.51,78,100,5.33,TH,1685051744
4,tamanrasset,22.785,5.5228,25.95,22,0,5.14,DZ,1685051744
5,bac lieu,9.285,105.7244,27.68,80,94,3.83,VN,1685051744
6,yellowknife,62.456,-114.3525,14.29,54,40,4.12,CA,1685051744
7,college,64.8569,-147.8028,22.27,34,75,2.57,US,1685051745
8,thaon-les-vosges,48.25,6.4167,13.08,95,0,2.32,FR,1685051745
9,port-aux-francais,-49.35,70.2167,5.33,99,99,8.44,TF,1685051745
10,kodiak,57.79,-152.4072,8.73,71,100,1.54,US,1685051745
11,hermanus,-34.4187,19.2345,8.22,69,31,6.63,ZA,1685051745
12,badger,64.8,-147.5333,22.22,32,75,2.57,US,1685051746
13,tiksi,71.6872,128.8694,-1.6,83,100,4.09,RU,1685051746
14,waitangi,-43.9535,-176.5597,14.34,85,7,1.79,NZ,1685051598
15,uyuni,-20.4597,-66.825,5.94,25,28,7.06,BO,1685051746
16,talnakh,69.4865,88.3972,0.67,96,94,3.4,RU,1685051618
17,bredasdorp,-34.5322,20.0403,9.54,84,62,4.37,ZA,1685051747
18,vorgashor,67.5833,63.95,13.55,75,95,4.57,RU,1685051608
19,hawaiian paradise park,19.5933,-154.9731,25.96,81,100,3.6,US,1685051747
20,afaahiti,-17.75,-149.2833,28.93,76,30,4.09,PF,1685051747
21,merelani,-3.5618,36.979,21.82,78,40,4.12,TZ,1685051747
22,bethel,41.3712,-73.414,20.01,47,0,3.6,US,1685051748
23,iqaluit,63.7506,-68.5145,1.85,74,75,3.09,CA,1685051748
24,nguigmi,14.2495,13.1092,32.74,34,6,3.51,NE,1685051748
25,khandyga,62.6667,135.6,7.87,71,85,0.37,RU,1685051748
26,taghazout,30.5426,-9.7112,19.43,84,1,2.42,MA,1685051748
27,nar'yan-mar,67.6713,53.087,16.0,87,73,7.65,RU,1685051635
28,nova sintra,14.8667,-24.7167,20.88,82,96,5.74,CV,1685051749
29,bilibino,68.0546,166.4372,7.33,54,99,0.86,RU,1685051749
30,richmond,37.5538,-77.4603,21.11,60,75,4.12,US,1685051069
31,edinburgh of the seven seas,-37.0676,-12.3116,16.36,82,58,12.23,SH,1685051750
32,adamstown,-25.066,-130.1015,23.39,68,53,2.84,PN,1685051605
33,georgetown,5.4112,100.3354,26.97,86,20,1.03,MY,1685051631
34,ushuaia,-54.8,-68.3,1.81,80,40,4.12,AR,1685051750
35,guerrero negro,27.9769,-114.0611,19.09,58,100,8.55,MX,1685051662
36,grytviken,-54.2811,-36.5092,1.34,98,99,2.73,GS,1685051751
